گلشهر,محمد شهر,كرج,اتمسفر,گرمدره,وردآورد,ايران خودرو,چيتگر,ورزشگاه آزادي,ارم سبز,تهران (صادقيه) 
98,97,96,95,94,93,92,91,90,89,54
5:00,5:05,5:11,5:18,5:22,5:30,5:42,5:48,5:53,5:57,6:03
5:15,,5:24,,,,,,,5:49,5:55
5:30,5:35,5:41,5:48,5:52,6:00,6:10,6:20,6:25,6:29,6:35
5:40,,5:49,,,,,,,6:14,6:20
,5:50,5:55,,,6:11,,,,6:23,6:29
5:50,5:55,6:01,6:08,6:12,6:20,6:30,6:36,6:41,6:45,6:51
6:00,,6:09,,,,,,,6:34,6:40
6:10,6:15,6:21,6:28,6:32,6:40,6:50,7:00,7:05,7:09,7:15
6:20,,6:29,,,,,,,6:54,7:00
,6:30,6:35,,,6:51,,,,7:03,7:09
6:30,6:35,6:41,6:48,6:52,7:00,7:10,7:16,7:21,7:25,7:31
6:40,,6:49,,,,,,,7:14,7:20
6:50,6:55,7:01,7:08,7:12,7:20,7:30,7:40,7:45,7:49,7:55
7:00,,7:09,,,,,,,7:34,7:40
,7:10,7:15,,,7:31,,,,7:43,7:49
7:10,7:15,7:21,7:28,7:32,7:40,7:50,7:56,8:01,8:05,8:11
7:20,,7:29,,,,,,,7:54,8:00
7:30,7:35,7:41,7:48,7:52,8:00,8:10,8:16,8:21,8:25,8:31
7:40,,7:49,,,,,,,8:14,8:20
7:50,7:55,8:01,8:08,8:12,8:20,8:30,8:36,8:41,8:45,8:51
8:00,,8:09,,,,,,,8:34,8:40
8:10,8:15,8:21,8:28,8:32,8:40,8:50,8:56,9:01,9:05,9:11
8:20,,8:29,,,,,,,8:54,9:00
8:30,8:35,8:41,8:48,8:52,9:00,9:10,9:16,9:21,9:25,9:31
8:40,,8:49,,,,,,,9:14,9:20
8:50,8:55,9:01,9:08,9:12,9:20,9:30,9:36,9:41,9:45,9:51
9:00,,9:09,,,,,,,9:34,9:40
9:10,9:15,9:21,9:28,9:32,9:40,9:50,9:56,10:01,10:05,10:11
9:20,,9:29,,,,,,,9:54,10:00
9:30,9:35,9:41,9:48,9:52,10:00,10:10,10:16,10:21,10:25,10:31
9:40,,9:49,,,,,,,10:14,10:20
9:50,9:55,10:01,10:08,10:12,10:20,10:30,10:36,10:41,10:45,10:51
10:00,,10:09,,,,,,,10:34,10:40
10:20,10:25,10:31,10:38,10:42,10:50,11:00,11:06,11:11,11:15,11:21
10:30,,10:39,,,,,,,11:04,11:10
10:50,10:55,11:01,11:08,11:12,11:20,11:30,11:36,11:41,11:45,11:51
11:00,,11:09,,,,,,,11:34,11:40
11:20,11:25,11:31,11:38,11:42,11:50,12:00,12:06,12:11,12:15,12:21
11:30,,11:39,,,,,,,12:04,12:10
11:50,11:55,12:01,12:08,12:12,12:20,12:30,12:36,12:41,12:45,12:51
12:00,,12:09,,,,,,,12:34,12:40
12:20,12:25,12:31,12:38,12:42,12:50,13:00,13:06,13:11,13:15,13:21
12:30,,12:39,,,,,,,13:04,13:10
12:50,12:55,13:01,13:08,13:12,13:20,13:30,13:36,13:41,13:45,13:51
13:00,,13:09,,,,,,,13:34,13:40
13:20,13:25,13:31,13:38,13:42,13:50,14:00,14:06,14:11,14:15,14:21
13:30,,13:39,,,,,,,14:04,14:10
13:50,13:55,14:01,14:08,14:12,14:20,14:30,14:36,14:41,14:45,14:51
14:00,,14:09,,,,,,,14:34,14:40
