دولت آباد,بعثت,ميدان شهدا,امام حسين (ع)
121,122,82,44
6:00,6:06,6:13,6:17
6:15,6:21,6:28,6:32
6:30,6:36,6:43,6:47
6:45,6:51,6:58,7:02
7:00,7:06,7:13,7:17
7:15,7:21,7:28,7:32
7:30,7:36,7:43,7:47
7:45,7:51,7:58,8:02
8:00,8:06,8:13,8:17
8:15,8:21,8:28,8:32
8:30,8:36,8:43,8:47
8:45,8:51,8:58,9:02
9:00,9:06,9:13,9:17
9:15,9:21,9:28,9:32
9:30,9:36,9:43,9:47
9:45,9:51,9:58,10:02
10:00,10:06,10:13,10:17
10:15,10:21,10:28,10:32
10:30,10:36,10:43,10:47
10:45,10:51,10:58,11:02
11:00,11:06,11:13,11:17
11:15,11:21,11:28,11:32
11:30,11:36,11:43,11:47
11:45,11:51,11:58,12:02
12:00,12:06,12:13,12:17
12:15,12:21,12:28,12:32
12:30,12:36,12:43,12:47
12:45,12:51,12:58,13:02
13:00,13:06,13:13,13:17
13:15,13:21,13:28,13:32
13:30,13:36,13:43,13:47
13:45,13:51,13:58,14:02
14:00,14:06,14:13,14:17
14:15,14:21,14:28,14:32
14:30,14:36,14:43,14:47
14:45,14:51,14:58,15:02
15:00,15:06,15:13,15:17
15:15,15:21,15:28,15:32
15:30,15:36,15:43,15:47
15:45,15:51,15:58,16:02
16:00,16:06,16:13,16:17
16:15,16:21,16:28,16:32
16:30,16:36,16:43,16:47
16:45,16:51,16:58,17:02
17:00,17:06,17:13,17:17
17:15,17:21,17:28,17:32
17:30,17:36,17:43,17:47
17:45,17:51,17:58,18:02
18:00,18:06,18:13,18:17
18:15,18:21,18:28,18:32
18:30,18:36,18:43,18:47
18:45,18:51,18:58,19:02
19:00,19:06,19:13,19:17
19:15,19:21,19:28,19:32
19:30,19:36,19:43,19:47
19:45,19:51,19:58,20:02
20:00,20:06,20:13,20:17
20:15,20:21,20:28,20:32
20:30,20:36,20:43,20:47
20:45,20:51,20:58,21:02
21:00,21:06,21:13,21:17
21:15,21:21,21:28,21:32
21:30,21:36,21:43,21:47
21:50,21:56,22:03,22:07
22:10,22:16,22:23,22:27
22:30,22:36,22:43,22:47
