امام حسين (ع),ميدان شهدا,بعثت,دولت آباد
44,82,122,121
6:00,6:02,6:09,6:17
6:23,6:25,6:32,6:40
6:38,6:40,6:47,6:55
6:53,6:55,7:02,7:10
7:08,7:10,7:17,7:25
7:23,7:25,7:32,7:40
7:38,7:40,7:47,7:55
7:53,7:55,8:02,8:10
8:08,8:10,8:17,8:25
8:23,8:25,8:32,8:40
8:38,8:40,8:47,8:55
8:53,8:55,9:02,9:10
9:08,9:10,9:17,9:25
9:23,9:25,9:32,9:40
9:38,9:40,9:47,9:55
9:53,9:55,10:02,10:10
10:08,10:10,10:17,10:25
10:23,10:25,10:32,10:40
10:38,10:40,10:47,10:55
10:53,10:55,11:02,11:10
11:08,11:10,11:17,11:25
11:23,11:25,11:32,11:40
11:38,11:40,11:47,11:55
11:53,11:55,12:02,12:10
12:08,12:10,12:17,12:25
12:23,12:25,12:32,12:40
12:38,12:40,12:47,12:55
12:53,12:55,13:02,13:10
13:08,13:10,13:17,13:25
13:23,13:25,13:32,13:40
13:38,13:40,13:47,13:55
13:53,13:55,14:02,14:10
14:08,14:10,14:17,14:25
14:23,14:25,14:32,14:40
14:38,14:40,14:47,14:55
14:53,14:55,15:02,15:10
15:08,15:10,15:17,15:25
15:23,15:25,15:32,15:40
15:38,15:40,15:47,15:55
15:53,15:55,16:02,16:10
16:08,16:10,16:17,16:25
16:23,16:25,16:32,16:40
16:38,16:40,16:47,16:55
16:53,16:55,17:02,17:10
17:08,17:10,17:17,17:25
17:23,17:25,17:32,17:40
17:38,17:40,17:47,17:55
17:53,17:55,18:02,18:10
18:08,18:10,18:17,18:25
18:23,18:25,18:32,18:40
18:38,18:40,18:47,18:55
18:53,18:55,19:02,19:10
19:08,19:10,19:17,19:25
19:23,19:25,19:32,19:40
19:38,19:40,19:47,19:55
19:53,19:55,20:02,20:10
20:08,20:10,20:17,20:25
20:23,20:25,20:32,20:40
20:38,20:40,20:47,20:55
20:53,20:55,21:02,21:10
21:08,21:10,21:17,21:25
21:23,21:25,21:32,21:40
21:38,21:40,21:47,21:55
21:53,21:55,22:02,22:10
22:10,22:12,22:19,22:27
22:30,22:32,22:39,22:47
