بسيج,مولوي,ميدان محمديه,مهديه,هلال احمر,بريانك,كميل,رودكي,شهيد نواب صفوي,تربيت مدرس,ميدان صنعت
115,123,67,27,120,116,114,119,49,117,113
5:30,5:38,5:39,5:41,5:43,5:45,5:47,5:49,5:51,5:56,6:03
5:40,5:48,5:49,5:51,5:53,5:55,5:57,5:59,6:01,6:06,6:13
5:50,5:58,5:59,6:01,6:03,6:05,6:07,6:09,6:11,6:16,6:23
6:00,6:08,6:09,6:11,6:13,6:15,6:17,6:19,6:21,6:26,6:33
6:10,6:18,6:19,6:21,6:23,6:25,6:27,6:29,6:31,6:36,6:43
6:20,6:28,6:29,6:31,6:33,6:35,6:37,6:39,6:41,6:46,6:53
6:30,6:38,6:39,6:41,6:43,6:45,6:47,6:49,6:51,6:56,7:03
6:40,6:48,6:49,6:51,6:53,6:55,6:57,6:59,7:01,7:06,7:13
6:50,6:58,6:59,7:01,7:03,7:05,7:07,7:09,7:11,7:16,7:23
7:00,7:08,7:09,7:11,7:13,7:15,7:17,7:19,7:21,7:26,7:33
7:10,7:18,7:19,7:21,7:23,7:25,7:27,7:29,7:31,7:36,7:43
7:20,7:28,7:29,7:31,7:33,7:35,7:37,7:39,7:41,7:46,7:53
7:30,7:38,7:39,7:41,7:43,7:45,7:47,7:49,7:51,7:56,8:03
7:40,7:48,7:49,7:51,7:53,7:55,7:57,7:59,8:01,8:06,8:13
7:50,7:58,7:59,8:01,8:03,8:05,8:07,8:09,8:11,8:16,8:23
8:00,8:08,8:09,8:11,8:13,8:15,8:17,8:19,8:21,8:26,8:33
8:10,8:18,8:19,8:21,8:23,8:25,8:27,8:29,8:31,8:36,8:43
8:20,8:28,8:29,8:31,8:33,8:35,8:37,8:39,8:41,8:46,8:53
8:30,8:38,8:39,8:41,8:43,8:45,8:47,8:49,8:51,8:56,9:03
8:40,8:48,8:49,8:51,8:53,8:55,8:57,8:59,9:01,9:06,9:13
8:50,8:58,8:59,9:01,9:03,9:05,9:07,9:09,9:11,9:16,9:23
9:00,9:08,9:09,9:11,9:13,9:15,9:17,9:19,9:21,9:26,9:33
9:10,9:18,9:19,9:21,9:23,9:25,9:27,9:29,9:31,9:36,9:43
9:20,9:28,9:29,9:31,9:33,9:35,9:37,9:39,9:41,9:46,9:53
9:30,9:38,9:39,9:41,9:43,9:45,9:47,9:49,9:51,9:56,10:03
9:40,9:48,9:49,9:51,9:53,9:55,9:57,9:59,10:01,10:06,10:13
9:50,9:58,9:59,10:01,10:03,10:05,10:07,10:09,10:11,10:16,10:23
10:00,10:08,10:09,10:11,10:13,10:15,10:17,10:19,10:21,10:26,10:33
10:10,10:18,10:19,10:21,10:23,10:25,10:27,10:29,10:31,10:36,10:43
10:20,10:28,10:29,10:31,10:33,10:35,10:37,10:39,10:41,10:46,10:53
10:30,10:38,10:39,10:41,10:43,10:45,10:47,10:49,10:51,10:56,11:03
10:40,10:48,10:49,10:51,10:53,10:55,10:57,10:59,11:01,11:06,11:13
10:50,10:58,10:59,11:01,11:03,11:05,11:07,11:09,11:11,11:16,11:23
11:00,11:08,11:09,11:11,11:13,11:15,11:17,11:19,11:21,11:26,11:33
11:10,11:18,11:19,11:21,11:23,11:25,11:27,11:29,11:31,11:36,11:43
11:20,11:28,11:29,11:31,11:33,11:35,11:37,11:39,11:41,11:46,11:53
11:30,11:38,11:39,11:41,11:43,11:45,11:47,11:49,11:51,11:56,12:03
11:40,11:48,11:49,11:51,11:53,11:55,11:57,11:59,12:01,12:06,12:13
11:50,11:58,11:59,12:01,12:03,12:05,12:07,12:09,12:11,12:16,12:23
12:00,12:08,12:09,12:11,12:13,12:15,12:17,12:19,12:21,12:26,12:33
12:10,12:18,12:19,12:21,12:23,12:25,12:27,12:29,12:31,12:36,12:43
12:20,12:28,12:29,12:31,12:33,12:35,12:37,12:39,12:41,12:46,12:53
12:30,12:38,12:39,12:41,12:43,12:45,12:47,12:49,12:51,12:56,13:03
12:40,12:48,12:49,12:51,12:53,12:55,12:57,12:59,13:01,13:06,13:13
12:50,12:58,12:59,13:01,13:03,13:05,13:07,13:09,13:11,13:16,13:23
13:00,13:08,13:09,13:11,13:13,13:15,13:17,13:19,13:21,13:26,13:33
13:10,13:18,13:19,13:21,13:23,13:25,13:27,13:29,13:31,13:36,13:43
13:20,13:28,13:29,13:31,13:33,13:35,13:37,13:39,13:41,13:46,13:53
13:30,13:38,13:39,13:41,13:43,13:45,13:47,13:49,13:51,13:56,14:03
13:40,13:48,13:49,13:51,13:53,13:55,13:57,13:59,14:01,14:06,14:13
13:50,13:58,13:59,14:01,14:03,14:05,14:07,14:09,14:11,14:16,14:23
14:00,14:08,14:09,14:11,14:13,14:15,14:17,14:19,14:21,14:26,14:33
14:10,14:18,14:19,14:21,14:23,14:25,14:27,14:29,14:31,14:36,14:43
14:20,14:28,14:29,14:31,14:33,14:35,14:37,14:39,14:41,14:46,14:53
14:30,14:38,14:39,14:41,14:43,14:45,14:47,14:49,14:51,14:56,15:03
14:40,14:48,14:49,14:51,14:53,14:55,14:57,14:59,15:01,15:06,15:13
14:50,14:58,14:59,15:01,15:03,15:05,15:07,15:09,15:11,15:16,15:23
15:00,15:08,15:09,15:11,15:13,15:15,15:17,15:19,15:21,15:26,15:33
15:10,15:18,15:19,15:21,15:23,15:25,15:27,15:29,15:31,15:36,15:43
15:20,15:28,15:29,15:31,15:33,15:35,15:37,15:39,15:41,15:46,15:53
15:30,15:38,15:39,15:41,15:43,15:45,15:47,15:49,15:51,15:56,16:03
15:40,15:48,15:49,15:51,15:53,15:55,15:57,15:59,16:01,16:06,16:13
15:50,15:58,15:59,16:01,16:03,16:05,16:07,16:09,16:11,16:16,16:23
16:00,16:08,16:09,16:11,16:13,16:15,16:17,16:19,16:21,16:26,16:33
16:10,16:18,16:19,16:21,16:23,16:25,16:27,16:29,16:31,16:36,16:43
16:20,16:28,16:29,16:31,16:33,16:35,16:37,16:39,16:41,16:46,16:53
16:30,16:38,16:39,16:41,16:43,16:45,16:47,16:49,16:51,16:56,17:03
16:40,16:48,16:49,16:51,16:53,16:55,16:57,16:59,17:01,17:06,17:13
16:50,16:58,16:59,17:01,17:03,17:05,17:07,17:09,17:11,17:16,17:23
17:00,17:08,17:09,17:11,17:13,17:15,17:17,17:19,17:21,17:26,17:33
17:10,17:18,17:19,17:21,17:23,17:25,17:27,17:29,17:31,17:36,17:43
17:20,17:28,17:29,17:31,17:33,17:35,17:37,17:39,17:41,17:46,17:53
17:30,17:38,17:39,17:41,17:43,17:45,17:47,17:49,17:51,17:56,18:03
17:40,17:48,17:49,17:51,17:53,17:55,17:57,17:59,18:01,18:06,18:13
17:50,17:58,17:59,18:01,18:03,18:05,18:07,18:09,18:11,18:16,18:23
18:00,18:08,18:09,18:11,18:13,18:15,18:17,18:19,18:21,18:26,18:33
18:10,18:18,18:19,18:21,18:23,18:25,18:27,18:29,18:31,18:36,18:43
18:20,18:28,18:29,18:31,18:33,18:35,18:37,18:39,18:41,18:46,18:53
