ميدان صنعت,تربيت مدرس,شهيد نواب صفوي,رودكي,كميل,بريانك,هلال احمر,مهديه,ميدان محمديه,مولوي,بسيج
113,117,49,119,114,116,120,27,67,123,115
5:35,5:39,5:44,5:46,5:48,5:50,5:52,5:54,5:56,5:58,6:08
5:45,5:49,5:54,5:56,5:58,6:00,6:02,6:04,6:06,6:08,6:18
5:55,5:59,6:04,6:06,6:08,6:10,6:12,6:14,6:16,6:18,6:28
6:05,6:09,6:14,6:16,6:18,6:20,6:22,6:24,6:26,6:28,6:38
6:15,6:19,6:24,6:26,6:28,6:30,6:32,6:34,6:36,6:38,6:48
6:25,6:29,6:34,6:36,6:38,6:40,6:42,6:44,6:46,6:48,6:58
6:35,6:39,6:44,6:46,6:48,6:50,6:52,6:54,6:56,6:58,7:08
6:45,6:49,6:54,6:56,6:58,7:00,7:02,7:04,7:06,7:08,7:18
6:55,6:59,7:04,7:06,7:08,7:10,7:12,7:14,7:16,7:18,7:28
7:05,7:09,7:14,7:16,7:18,7:20,7:22,7:24,7:26,7:28,7:38
7:15,7:19,7:24,7:26,7:28,7:30,7:32,7:34,7:36,7:38,7:48
7:25,7:29,7:34,7:36,7:38,7:40,7:42,7:44,7:46,7:48,7:58
7:35,7:39,7:44,7:46,7:48,7:50,7:52,7:54,7:56,7:58,8:08
7:45,7:49,7:54,7:56,7:58,8:00,8:02,8:04,8:06,8:08,8:18
7:55,7:59,8:04,8:06,8:08,8:10,8:12,8:14,8:16,8:18,8:28
8:05,8:09,8:14,8:16,8:18,8:20,8:22,8:24,8:26,8:28,8:38
8:15,8:19,8:24,8:26,8:28,8:30,8:32,8:34,8:36,8:38,8:48
8:25,8:29,8:34,8:36,8:38,8:40,8:42,8:44,8:46,8:48,8:58
8:35,8:39,8:44,8:46,8:48,8:50,8:52,8:54,8:56,8:58,9:08
8:45,8:49,8:54,8:56,8:58,9:00,9:02,9:04,9:06,9:08,9:18
8:55,8:59,9:04,9:06,9:08,9:10,9:12,9:14,9:16,9:18,9:28
