stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1,تجریش,,35.8046493,51.4335093,,
2,قيطريه,,35.7930714,51.4350618,,
3,شهيد صدر,,35.78519,51.4358526,,
4,قلهك,,35.772777,51.4379053,,
6,ملت,,35.6885533,51.4268282,,
7,امام خميني (ره),,35.6855252,51.4198854,,
8,قائم,,35.798773,51.5209852,,
9,شهيد محلاتي,,35.7979131,51.5081814,,
11,نوبنياد,,35.7907189,51.4786864,,
12,حسين آباد,,35.6864327,51.4101317,,
13,هروي,,35.772054,51.4732254,,
14,شهيد زين الدين,,35.7605385,51.4654896,,
15,خواجه عبداله انصاري,,35.7434507,51.4634475,,
16,شهيد صياد شيرازي,,35.7354136,51.4584267,,
17,شهيد قدوسي,,35.7315381,51.4444031000001,,
18,سهروردي,,35.7310672,51.4369868,,
19,شهيد بهشتي,,35.73101,51.427062,,
19,شهید بهشتی,,35.73101,51.427062,,
20,ميرزاي شيرازي,,35.7281169,51.4174563,,
22,ميدان وليعصر (عج),,35.7120335,51.4078708,,
24,ميدان انقلاب اسلامي,,35.7011848,51.3899904,,
25,دانشگاه امام علي(ع),,35.6872162,51.3993955,,
26,منیریه,,35.6810867,51.4015935,,
27,مهديه,,35.6670022,51.3995479,,
28,راه آهن,,35.6596113,51.3974172000001,,
29,جوادیه,,35.659153,51.3881421,,
31,شهرك شريعتي,,35.6443107,51.3692741,,
32,عبدل آباد,,35.6381381,51.3601512,,
33,نعمت آباد,,35.6338942,51.3470784,,
34,آزادگان,,35.6273361,51.3354909,,
35,فرهنگسرا,,35.7297558,51.5468003999999,,
36,تهرانپارس,,35.7310613,51.5317527,,
37,شهيد باقري,,35.7331523,51.5164231,,
38,دانشگاه علم وصنعت,,35.7346458,51.5050237,,
39,سرسبز,,35.7353546,51.4949258,,
40,جانبازان,,35.7334585,51.4846399000001,,
41,فدك,,35.7265325,51.4758128,,
42,سبلان,,35.7181958,51.464639,,
43,شهيد مدني,,35.7092221,51.453397,,
44,امام حسين (ع),,35.7021955,51.4457023,,
45,دروازه شميران,,35.699093,51.4377021,,
46,بهارستان,,35.6919063,51.4328109000001,,
47,حسن آباد,,35.6864327,51.4101317,,
48,ميدان حر,,35.6909978,51.3884408,,
49,شهيد نواب صفوي,,35.6944716,51.3792704,,
51,استاد معين,,35.7001252,51.3446147,,
52,دانشگاه شريف,,35.7058176,51.3536305,,
53,طرشت,,35.716168,51.3434464,,
54,صادقیه,,35.7175738,51.3309611,,
55,دكتر شريعتي,,35.7627055,51.4442311,,
56,ميرداماد,,35.7598263,51.4338193,,
57,شهيد حقاني,,35.7562669,51.4265943,,
58,شهيد همت,,35.7480611,51.4260131999999,,
